PID	Status	Label
-	-9	com.apple.EscrowSecurityAlert
3947	0	com.alienator88.PearcleanerSentinel
3279	-9	com.apple.MTLAssetUpgraderD
1060	0	com.apple.ptpcamerad
1235	0	com.apple.metadata.mdwrite
-	0	com.apple.loginwindow.LWWeeklyMessageTracer
4635	0	application.at.EternalStorms.Transloader-setapp.544916974.544916988
-	0	com.apple.spotlightknowledged
4513	0	application.com.camazotz.Stickier.macos.453271375.453271381
-	0	com.apple.securityuploadd
-	-9	com.apple.lockdownmoded
-	0	com.apple.companiond
-	0	com.apple.RapportUIAgent
8224	-9	com.apple.siriknowledged
88352	0	com.apple.powerchime
751	0	com.apple.sharingd
8213	0	com.apple.seserviced
88914	-9	com.apple.mobilerepaird
-	0	io.appmakes.Paletro-setapp.LaunchHelper
-	0	com.apple.iCloudUserNotificationsd
-	-9	com.apple.metrickitd
-	0	com.apple.storeassetd
808	0	com.apple.familycircled
-	0	com.apple.filevaultd
955	0	com.setapp.DesktopClient.SetappAgent
-	0	com.apple.FontRegistryUIAgent
-	0	com.apple.RemoteManagementAgent
-	0	com.apple.sportsd
-	-9	com.apple.TextInputSwitcher
72993	-9	com.apple.intelligentroutingd
89134	0	com.apple.AMPArtworkAgent
887	0	com.apple.imagent
1065	0	com.apple.sidecar-relay
-	0	com.apple.cloudsettingssyncagent
-	-9	com.apple.assistant_cdmd
4628	0	application.net.ericmann.parachute.506395306.506395310
-	0	com.grammarly.ProjectLlama.LoginHelper
-	0	com.apple.photoanalysisd
-	0	com.apple.syncservices.SyncServer
-	0	com.apple.imautomatichistorydeletionagent
825	0	com.apple.SystemUIServer.agent
-	0	com.apple.PackageUIKit.InstallStatus
6745	-9	com.apple.talagent
841	0	com.apple.suggestd
-	0	com.apple.navd
-	0	com.apple.appleidsetupd
-	0	com.apple.RemoteDesktop.agent
-	-9	com.apple.iCloudNotificationAgent
21286	-9	com.apple.amsaccountsd
-	0	com.apple.VoiceOver
16689	-9	com.apple.Maps.mapssyncd
3974	0	com.zeroonetwenty.ProFindHelper
35343	-9	com.apple.swtransparencyd
-	-9	com.apple.gputoolsserviced
717	0	com.apple.usernotificationsd
-	0	com.apple.FamilyControlsAgent
40094	0	com.apple.spotlightknowledged.importer
-	0	com.apple.AssistiveControl
21501	0	com.apple.CoreSimulator.SimulatorTrampoline
-	-9	com.apple.CoreDevice.CoreDeviceService
21499	-9	com.apple.CoreSimulator.CoreSimulatorService
-	0	com.apple.mdworker.single.arm64
-	0	com.apple.ContainerMigrationService
704	0	com.apple.secd
740	0	com.apple.hiservices-xpcservice
-	0	com.apple.cvmsCompAgent_x86_64_1
-	0	com.setapp.DesktopClient.SetappAssistant
747	0	application.com.microsoft.teams2.552679221.552679251
51463	-9	com.apple.assistantd
9183	-9	com.apple.siriinferenced
4165	0	application.com.lowtechguys.Cling.494701656.494701664
-	-9	com.apple.studentd
-	0	com.apple.FollowUpUI
917	0	com.apple.videoconference.camera
-	0	com.apple.corespotlightservice
891	0	com.apple.uikitsystemapp
4631	0	application.com.stairways.keyboardmaestro.engine.258998869.408170009
-	0	com.apple.controlstrip
35413	-9	com.apple.financed
97989	0	application.com.HyperartFlow.Barbee.bb-agent.569011123.569011129
15956	0	application.com.googlecode.iterm2.563227871.563227889
-	0	com.softwareambience.Unclutter.StartupLauncher
-	-9	com.apple.findmy.findmylocateagent
-	0	com.apple.previewsd
89579	0	com.apple.mediaanalysisd
-	-9	com.apple.DiskArbitrationAgent
2609	-9	com.apple.assessmentagent
3937	0	com.touchguard.startup
-	0	com.apple.exchange.exchangesyncd
-	0	com.apple.testmanagerd
-	0	com.apple.dt.AutomationModeUI
15295	-9	com.apple.scopedbookmarksagent.xpc
4194	0	application.com.Hyperartflow.BarbeeHelper.520517370.520517376
89363	-9	com.apple.ensemble
6549	-9	com.apple.ReportCrash
3944	0	org.hejki.osx.sshce.agent
96960	0	com.apple.biomesyncd
97946	0	application.com.hegenberg.bettertouchtool-setapp.574739911.574739917
4183	0	application.io.appmakes.Paletro-setapp.123271968.408169564
35369	0	com.apple.ciphermld
3948	0	com.openai.chat-helper
16492	-9	com.apple.UsageTrackingAgent
21185	-9	com.apple.email.maild
-	0	com.github.domt4.homebrew-autoupdate
4379	0	application.org.hejki.osx.sshce-setapp.581857126.581857139
763	0	application.com.apple.TextEdit.1152921500311907223.1152921500311907228
-	0	com.jjk.antinote.rollover
739	0	com.apple.donotdisturbd
-	0	com.apple.accessorysensormgrd
-	0	com.apple.locationaccessstored
781	0	application.com.busymac.busycal-setapp.577860283.577860296
-	0	com.apple.menuextra.battery.helper
-	0	com.apple.appleseed.seedusaged.postinstall
-	0	com.apple.Maps.mapspushd
-	78	com.jjk.update-bpc
-	0	com.HyperartFlow.Barbee.LaunchAtLoginHelper
-	0	com.apple.coreidvd
-	0	com.apple.voicememod
89440	-9	com.apple.gamed
-	0	com.apple.STMUIHelper
89237	-9	com.apple.intelligencecontextd
78488	-9	com.apple.knowledge-agent
-	0	com.apple.midiserver
4617	0	application.com.stclairsoft.DefaultFolderX5-setapp.581857392.581857413
728	0	com.apple.mobiledeviceupdater
831	0	com.apple.AccessibilityUIServer
-	-9	com.apple.communicationtrustd
-	0	com.apple.helpd
-	0	com.apple.icloudmailagent
-	0	com.apple.quicklook.ui.helper
4130	0	application.com.grammarly.ProjectLlama.576677675.576678653
-	1	com.setapp.DesktopClient.SetappUpdater
-	0	com.apple.GameOverlayUI
758	0	com.apple.wifi.WiFiAgent
-	0	com.apple.screensharing.MessagesAgent
-	0	com.apple.diskspaced
3970	0	com.setapp.DesktopClient.SetappLauncher
1014	0	com.apple.passd
3973	0	jp.plentycom.boa.SteerMouse
-	0	org.xquartz.startx
-	0	com.apple.DictationIM
-	-9	com.apple.sociallayerd
19434	0	com.apple.mdmclient.agent
-	0	com.apple.iCloudHelper
-	0	com.apple.CharacterPicker.FileService
39592	-9	com.apple.keychainsharingmessagingd
-	0	com.apple.MessageUIMacHelperService
-	0	com.apple.cvmsCompAgent3425AMD_x86_64
-	0	com.apple.gamecontroller.ConfigService
-	0	com.apple.security.XPCKeychainSandboxCheck
764	0	com.apple.CoreAuthentication.agent
4427	0	application.com.stclairsoft.AppTamer-setapp.527321574.527321588
40445	-9	com.apple.syncdefaultsd
-	0	com.apple.sidecar-display-agent
773	0	com.apple.chronod
1020	0	com.apple.accessibility.heard
3926	0	com.apple.corespeechd
-	-9	com.apple.geoanalyticsd
-	0	com.apple.AMPSystemPlayerAgent
35382	-9	com.apple.itunescloudd
-	0	com.apple.scrod
44892	0	application.com.adobe.Acrobat.Pro.561569837.561588183
786	0	application.com.todoist.mac.Todoist.577704576.577704582
21115	-9	com.apple.spindump_agent
13583	-9	com.apple.frauddefensed
15316	0	application.com.jinghaoshe.qspace.pro.548427425.548427667
57884	0	application.com.idemfactor.Click2Minimize.582013614.582013621
3535	0	2BUA8C4S2C.com.1password.browser-helper
3932	0	org.pqrs.service.agent.karabiner_session_monitor
-	0	com.apple.AquaAppearanceHelper
39581	0	com.apple.AuthenticationServicesCore.AuthenticationServicesAgent
-	0	com.apple.cvmsCompAgent_arm64
893	0	com.apple.milod
-	0	com.apple.bookdatastored
96281	0	application.app.updatest.Updatest.582494262.582494272
6307	-9	com.apple.security.keychain-circle-notification
-	0	com.apple.appstorecomponentsd
-	-9	com.apple.icloud.findmydeviced.findmydevice-user-agent
44940	0	application.com.adobe.AdobeCRDaemon.561577793.561587799
3938	0	com.houdah.HoudahSpot-setapp.HoudahSpotHelper
6962	0	application.com.microsoft.Outlook.576680077.576680093
3940	0	corp.sap.privileges.agent
-	0	com.apple.XProtect.agent.scan.startup
21287	-9	com.apple.amsengagementd
-	-9	com.apple.betaenrollmentagent
-	0	com.apple.AirPortBaseStationAgent
-	-9	com.apple.proactiveeventtrackerd
72194	-9	com.apple.proactived
-	-9	com.apple.ModelCatalogAgent
695	0	com.apple.universalaccessd
719	0	com.apple.linkd
4496	0	application.com.knollsoft.Hookshot.576070522.576070762
-	0	com.apple.accessibility.MotionTrackingAgent
17409	0	application.net.imput.helium.581872060.581872066
-	0	com.apple.neagent
-	-9	com.apple.SafariLaunchAgent
-	0	com.apple.idsfoundation.IDSRemoteURLConnectionAgent
-	-9	com.apple.textcomposerd
35694	-9	com.apple.recentsd
88395	-9	com.apple.spotlightknowledged.updater
-	0	com.apple.transparencyStaticKey
-	-9	com.apple.sirittsd
